"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"2894","19860214","012706","-11.85","-77.88","31","5","20223006"
"2899","19860221","011520","-15.15","-75.71","28","5","20223006"
"2904","19860224","003835","-15.64","-73.88","25","5","20223006"
"2905","19860225","003928","-17.571","-71.052","92","5","20223006"
"2920","19860309","164752","-8.073","-80.111","33","5","20223006"
"2937","19860331","203944","-7.973","-74.359","154","5","20223006"
"2943","19860406","053925","-13.81","-75.91","11","5","20223006"
"2951","19860419","031822","-10.73","-74.4","28","5","20223006"
"2962","19860505","090127","-13.37","-76.98","22","5","20223006"
"2963","19860505","131412","-12.56","-76.57","29","5","20223006"
"2966","19860515","112943","-15.21","-76.07","33","5","20223006"
"2973","19860520","172626","-15.36","-75.97","27","5","20223006"
"2982","19860601","224805","-13.91","-74.21","12","5","20223006"
"3009","19860714","063445","-9.656","-72.433","33","5","20223006"
"3013","19860715","224947","-5.57","-76.86","86","5","20223006"
"3014","19860717","181123","-9.159","-79.935","33","5","20223006"
"3019","19860721","004045","-13.99","-76.33","20","5","20223006"
"3020","19860722","182011","-14.2","-73.88","86","5","20223006"
"3064","19861106","011029","-12.57","-76.98","36","5","20223006"
"3066","19861110","132505","-10.33","-79.17","17","5","20223006"
"3067","19861110","192255","-13.14","-75.13","38","5","20223006"
"3070","19861114","065506","-11.96","-77.08","53","5","20223006"
"3083","19861124","084412","-8.88","-80.13","29","5","20223006"
"3136","19861224","062835","-13.36","-75.08","34","5","20223006"
"3140","19861226","052143","-13.15","-76.62","40","5","20223006"
"3143","19861227","060001","-9.65","-75.35","76","5","20223006"
"3174","19870119","105337","-10.16","-78.6","35","5","20223006"
"3188","19870204","124205","-14.76","-76.83","19","5","20223006"
"3192","19870205","132240","-12.31","-75.75","105","5","20223006"
"3194","19870205","153647","-17.04","-74.04","46","5","20223006"
"3215","19870226","085334","-8.66","-80.56","11","5","20223006"
"3226","19870307","041024","-3.35","-73.35","55","5","20223006"
"3242","19870320","164027","-7.03","-78.61","23","5","20223006"
"3258","19870413","121415","-4.22","-78.64","117","5","20223006"
"3282","19870506","172644","-8.84","-75.4","163","5","20223006"
"3300","19870519","110519","-10.85","-76.79","106","5","20223006"
"3316","19870528","122847","-13.65","-75.03","83","5","20223006"
"3331","19870610","174551","-8.24","-74.37","161","5","20223006"
"3332","19870611","185121","-2.99","-76.89","125","5","20223006"
"3344","19870618","201936","-16.2","-76.15","25","5","20223006"
"3349","19870620","154014","-10.2","-74.27","110","5","20223006"
"3423","19870919","085741","-15.32","-75.68","35","5","20223006"
"3456","19871006","042751","-8.54","-80.85","19","5","20223006"
"3466","19871017","190324","-18.22","-73.99","13","5","20223006"
"3491","19871123","160959","-8.54","-76.48","138","5","20223006"
"3496","19871129","061103","-10.52","-75.04","30","5","20223006"
"3503","19871211","103216","-16.8","-74.02","26","5","20223006"
"3527","19880118","134813","-2.446","-76.641","149","5","20223006"
"3547","19880228","102411","-17.051","-70.906","33","5","20223006"
"3555","19880317","120242","-5.853","-76.414","33","5","20223006"
"3600","19880708","184400","-16.369","-69.72","218","5","20223006"
"3604","19880713","031255","-12.326","-74.424","33","5","20223006"
"3610","19880802","085441","-5.743","-80.896","33","5","20223006"
"3617","19880820","061531","-12.32","-76.41","76","5","20223006"
"3631","19881008","233900","-17.37","-71.76","70","5","20223006"
"3712","19890313","103607","-12.65","-75.71","66","5","20223006"
"3781","19890420","232312","-17.01","-72.42","35","5","20223006"
"3795","19890505","191045","-7.254","-71.08","600","5","20223006"
"3810","19890515","185553","-14.62","-74.48","38","5","20223006"
"3834","19890620","083717","-15.54","-75.15","50","5","20223006"
"3854","19890715","140827","-15.18","-72.03","44","5","20223006"
"3873","19890827","124130","-17.616","-70.453","119","5","20223006"
"3894","19891007","090205","-16.91","-71.64","83","5","20223006"
"3897","19891011","060124","-16.08","-68.8","198","5","20223006"
"3908","19891025","094259","-13.412","-70.249","25","5","20223006"
"3916","19891108","101509","-5.623","-76.026","33","5","20223006"
"3931","19891204","232157","-15.28","-71.25","149","5","20223006"
"3932","19891207","052743","-12.52","-76.99","43","5","20223006"
"3954","19891219","193259","-17.88","-70.32","32","5","20223006"
"4000","19900113","002913","-10.01","-79.17","36","5","20223006"
"4018","19900126","100609","-14.92","-76.26","21","5","20223006"
"4064","19900218","183758","-9.5","-79.38","36","5","20223006"
"4083","19900312","003157","-12.83","-75.61","41","5","20223006"
"4116","19900416","111442","-9.06","-75.29","146","5","20223006"
"4117","19900416","193035","-15.3","-73.47","69","5","20223006"
"4140","19900503","080517","-16.88","-70.81","42","5","20223006"
"4141","19900503","132541","-12.09","-77.21","61","5","20223006"
"4162","19900530","070345","-6","-77.19","29","5","20223006"
"4184","19900531","152459","-6.01","-77.42","34","5","20223006"
"4208","19900606","135725","-18.11","-70.22","80","5","20223006"
"4228","19900612","233035","-13.3","-74.63","145","5","20223006"
"4238","19900618","033258","-14.57","-74.43","87","5","20223006"
"4288","19900715","101230","-12.11","-76.96","34","5","20223006"
"4292","19900725","205358","-9.49","-78.77","32","5","20223006"
"4392","19901006","014942","-7.92","-74.68","173","5","20223006"
"4434","19901123","072736","-3.616","-80.823","33","5","20223006"
"4452","19901213","232602","-13.15","-76.56","38","5","20223006"
"4454","19901219","170114","-16.768","-73.16","85","5","20223006"
"4457","19901223","002156","-13.44","-76.73","38","5","20223006"
"4487","19910126","032718","-7.26","-74.87","161","5","20223006"
"4502","19910206","052754","-3.96","-81.84","6","5","20223006"
"4555","19910313","184736","-14.86","-76.55","10","5","20223006"
"4575","19910330","015318","-5.02","-77.51","34","5","20223006"
"4587","19910405","052024","-5.773","-77.146","33","5","20223006"
"4605","19910405","203742","-6.28","-77.49","31","5","20223006"
"4637","19910407","134425","-6.02","-77.29","27","5","20223006"
"4652","19910409","174134","-5.91","-77.23","37","5","20223006"
"4696","19910502","072557","-5.83","-77.27","25","5","20223006"
"4728","19910609","125619","-17.873","-69.273","148","5","20223006"
"4745","19910707","113853","-14.29","-76.14","55","5","20223006"
"4767","19910803","230241","-14.93","-72.08","113","5","20223006"
"4793","19910829","014006","-14.89","-75.16","47","5","20223006"
"4830","19911028","185528","-6.68","-79.64","62","5","20223006"
"4835","19911106","234807","-16.663","-74.269","35","5","20223006"
"4877","19911228","010157","-9.15","-77.42","14","5","20223006"
"4940","19920301","061519","-6.825","-75.926","33","5","20223006"
